Text token,Base token,Tree Tagger Tagged POS,Our Tagged POS
“,"""",``,
While,while,IN,
much,much,RB,
of,of,IN,
the,the,DT,
digital,digital,JJ,
transition,transition,NN,
is,be,VBZ,
unprecedented,unprecedented,JJ,
in,in,IN,
the,the,DT,
United,United,NP,
States,States,NPS,
",",",",",",
the,the,DT,
peaceful,peaceful,JJ,
transition,transition,NN,
of,of,IN,
power,power,NN,
is,be,VBZ,
not,not,RB,
",",",",",",
”,"""",'',
Obama,<unknown>,NP,
special,special,JJ,
assistant,assistant,NN,
Kori,Kori,NP,
Schulman,Schulman,NP,
wrote,write,VBD,
in,in,IN,
a,a,DT,
blog,<unknown>,NN,
post,post,IN,
Monday,Monday,NP,
.,.,SENT,
For,for,IN,
those,those,DT,
who,who,WP,
follow,follow,VBP,
social,social,JJ,
media,medium,NNS,
transitions,transition,NNS,
on,on,IN,
Capitol,Capitol,NP,
Hill,Hill,NP,
",",",",",",
this,this,DT,
will,will,MD,
be,be,VB,
a,a,DT,
little,little,RB,
different,different,JJ,
.,.,SENT,
But,but,CC,
in,in,IN,
a,a,DT,
break,break,NN,
from,from,IN,
his,his,PP$,
past,past,JJ,
rhetoric,rhetoric,NN,
about,about,IN,
curtailing,curtail,VBG,
immigration,immigration,NN,
",",",",",",
the,the,DT,
GOP,GOP,NP,
nominee,nominee,NN,
proclaimed,proclaim,VBD,
that,that,IN,
as,as,IN,
president,president,NN,
he,he,PP,
would,would,MD,
allow,allow,VB,
“,"""",``,
tremendous,tremendous,JJ,
numbers,number,NNS,
”,"""",'',
of,of,IN,
legal,legal,JJ,
immigrants,immigrant,NNS,
based,base,VBN,
on,on,IN,
a,a,DT,
“,"""",``,
merit,merit,NN,
system,system,NN,
.,.,SENT,
”,"""",'',
“,"""",``,
So,so,RB,
I,I,PP,
hate,hate,VBP,
to,to,TO,
put,put,VB,
a,a,DT,
little,little,JJ,
pressure,pressure,NN,
on,on,IN,
you,you,PP,
",",",",",",
but,but,CC,
the,the,DT,
fate,fate,NN,
of,of,IN,
the,the,DT,
republic,republic,NN,
rests,rest,VBZ,
on,on,IN,
your,your,PP$,
shoulders,shoulder,NNS,
",",",",",",
”,"""",'',
he,he,PP,
told,tell,VBD,
the,the,DT,
crowd,crowd,NN,
gathered,gather,VBN,
on,on,IN,
a,a,DT,
sports,sport,NNS,
field,field,NN,
at,at,IN,
the,the,DT,
University,University,NP,
of,of,IN,
North,North,NP,
Carolina,Carolina,NP,
.,.,SENT,
The,the,DT,
new,new,JJ,
spending,spending,NN,
is,be,VBZ,
fueled,fuel,VBN,
by,by,IN,
Clinton,Clinton,NP,
’s,'s,POS,
large,large,JJ,
bank,bank,NN,
account,account,NN,
.,.,SENT,
What,what,WP,
she,she,PP,
’s,be,VBZ,
saying,say,VBG,
and,and,CC,
what,what,WP,
she,she,PP,
’s,be,VBZ,
doing,do,VBG,
",",",",",",
it,it,PP,
—,-,:,
actually,actually,RB,
